model,objective,qini_above_random,auuc_above_random,qini_area,auuc_area,uplift_at_10pct,uplift_at_20pct,uplift_at_30pct,uplift_at_50pct,uplift_at_100pct
Response LightGBM,P(Y|X) -- naive targeting baseline,806.2391541262296,942.0269935468634,1834.2336683374585,2151.431727635909,0.008315843978639555,0.004837617233393437,0.003480390856438088,0.002201931740087081,0.001153495389316566
Causal Forest,tau(X) -- CATE estimation,769.5757870676966,897.7270008954604,1797.5703012789256,2107.131734984506,0.008205305285556373,0.004830766871040844,0.003421069442378656,0.0021397555035302593,0.001153495389316566
X-Learner,tau(X) -- CATE estimation,544.1096418401128,636.2114738660664,1572.1041560513418,1845.6162079551118,0.00731773393671621,0.004250611701730277,0.0029543332213284893,0.00187762043661615,0.001153495389316566
T-Learner,tau(X) -- CATE estimation,369.6457146512362,430.4647751944176,1397.6402288624652,1639.869509283463,0.006343787153802101,0.0037673246493585546,0.0026636270617041193,0.0016777022391445138,0.001153495389316566
Random (reference),Uninformative random ranking,47.64332,56.08741,1075.63783,1265.49215,0.00117,0.00136,0.00119,0.00121,0.00115
