model,objective,qini_above_random,auuc_above_random,qini_area,auuc_area,uplift_at_10pct,uplift_at_20pct,uplift_at_30pct,uplift_at_50pct,uplift_at_100pct
Causal Forest,tau(X) -- CATE estimation,6642.20307718024,7746.518691046862,15553.095036867404,18229.915997180025,0.060520283909396316,0.03857625959706634,0.028778488480911996,0.01914996747111264,0.009998762296979706
Response LightGBM,P(Y|X) -- naive targeting baseline,6226.734644671125,7280.116988433776,15137.62660435829,17763.51429456694,0.0521938327490018,0.03796283798468114,0.02845341839490073,0.019079206533582943,0.009998762296979706
X-Learner,tau(X) -- CATE estimation,5759.001527094806,6723.064760589259,14669.89348678197,17206.462066722423,0.05499178815563596,0.03743034664934769,0.027993722005226193,0.01812224644588794,0.009998762296979706
T-Learner,tau(X) -- CATE estimation,5653.9400862042385,6591.466137522333,14564.832045891402,17074.863443655497,0.05591736806540684,0.037057966850611995,0.02752774582820447,0.017755121744841923,0.009998762296979706
Random (reference),Uninformative random ranking,186.67452,219.92898,9097.56648,10703.32628,0.00976,0.00988,0.01041,0.01011,0.01
